,CARRIER,CARRIER_NAME,CNAME
749,GBA,Central States Airline (1960 - 2002),Central States Airline   
750,GBQ,G5 Executive Ag (2002 - 2015),G Executive Ag   
751,GCA,Golden Carriage Aire (1960 - 2002),Golden Carriage Aire   
752,GCH,Grand Canyon Helicopters (1983 - ),Grand Canyon Helicopters   
753,GCQ,General Air Cargo (1991 - 1993),General Air Cargo   
754,GCS,Midway Commuter (1960 - 2002),Midway Commuter   
755,GD,Transp. Aereos Ejecutivos (1993 - 2001),Transp. Aereos Ejecutivos   
756,GDW,Golden West Airlines Inc. (1996 - 2002),Golden West Airlines Inc.   
757,GE,Lufthansa Cargo Airlines (1981 - 1996),Lufthansa Cargo Airlines   
758,GF,Gulf Air Company (1994 - 1997),Gulf Air Company   
759,GF,Gulf Air Transport Inc. (1981 - 1990),Gulf Air Transport Inc.   
760,GFC,Gulf Flite Center (1990 - 2002),Gulf Flite Center   
761,GFQ,Gulf And Caribbean Cargo (1998 - ),Gulf And Caribbean Cargo   
762,GG,"Cargo 360, Inc. (2006 - 2007)","Cargo , Inc.   "
763,GG,Tropical Airways Inc. (1988 - 1988),Tropical Airways Inc.   
764,GG,Grenada Airways Ltd. (1986 - 1989),Grenada Airways Ltd.   
765,GH,Ghana Airways Corporation (1994 - 2004),Ghana Airways Corporation   
766,GHA,Green Hills Aviation Ltd. (1960 - 2002),Green Hills Aviation Ltd.   
767,GIQ,Global International Airways Corp. (1981 - 1985),Global International Airways Corp.   
768,GJ,Eurofly S.p.A (2006 - 2010),Eurofly S.p.A   
769,GJ,Mexicargo (1996 - 1998),Mexicargo   
770,GKQ,Laker Airways (1981 - 1989),Laker Airways   
771,GL,Miami Air International (2004 - ),Miami Air International   
772,GLA,Great Lakes Aviation Ltd. (1982 - 2003),Great Lakes Aviation Ltd.   
773,GLF,Gulfstream Int (1990 - 2004),Gulfstream Int   
774,GLQ,Allegiant Air (1998 - 2000),Allegiant Air   
775,GLW,Golden West Airlines Co. (1960 - 1985),Golden West Airlines Co.   
776,GM,Air America (1988 - 1990),Air America   
777,GMA,Green Mountain Airlines Ltd. (1960 - 2002),Green Mountain Airlines Ltd.   
778,GOF,Copper State Airlines (1960 - 2002),Copper State Airlines   
779,GPA,GP Express Airlines (1985 - 2002),GP Express Airlines   
780,GQ,Big Sky Airlines Inc. (2006 - 2008),Big Sky Airlines Inc.   
781,GR,Gemini Air Cargo Airways (1996 - 2008),Gemini Air Cargo Airways   
782,GRA,Gorda Aero Service (1994 - 2002),Gorda Aero Service   
783,GRD,Grand Canyon Airlines (1983 - 2002),Grand Canyon Airlines   
784,GRO,Isle Royale Seaplane Serv. (1960 - 2002),Isle Royale Seaplane Serv.   
785,GRT,Grant Aviation (1994 - 2003),Grant Aviation   
786,GS,Air Foyle Limited (1992 - 2001),Air Foyle Limited   
787,GS,Grant Aviation (2005 - 2006),Grant Aviation   
788,GSA,Golden Gate Airlines Inc. (1960 - 1984),Golden Gate Airlines Inc.   
789,GSC,GCS Air Service (1988 - 2002),GCS Air Service   
790,GSL,Golden South Airlines Inc. (1960 - 2002),Golden South Airlines Inc.   
791,GSQ,Global Supply System (2002 - ),Global Supply System   
792,GST,Golden State Airlines (1988 - 2002),Golden State Airlines   
793,GU,Aviateca (1981 - 2000),Aviateca   
794,GUL,Gull Air Inc. (1960 - 2002),Gull Air Inc.   
795,GUN,Gunnel Aviation Inc. (1960 - 2002),Gunnel Aviation Inc.   
796,GV,Grant Aviation (2007 - ),Grant Aviation   
797,GW,Central American Airlines (1990 - 1994),Central American Airlines   
798,GW,SkyGreece Airlines S A (2015 - ),SkyGreece Airlines S A   
799,GWA,Great Western Aviation (1991 - 2002),Great Western Aviation   
800,GWE,Ross Aviation Inc. (1960 - 2002),Ross Aviation Inc.   
801,GX,Air Ontario Limited (1982 - 1989),Air Ontario Limited   
802,GY,Guyana Airways Corporation (1981 - 2001),Guyana Airways Corporation   
803,H2,City Bird (1997 - 2000),City Bird   
804,H5,Magadan Airlines (1997 - 2005),Magadan Airlines   
805,H6,Hageland Aviation Service (2003 - ),Hageland Aviation Service   
806,H7,Venture Travel LLC d/b/a Taquan Air Service (2003 - 2004),Venture Travel LLC dba Taquan Air Service   
807,HA,Hawaiian Airlines Inc. (1960 - ),Hawaiian Airlines Inc.   
808,HAG,Hageland Aviation Service (1986 - 2003),Hageland Aviation Service   
809,HAQ,Hapag Lloyd Flug. (1983 - 2001),Hapag Lloyd Flug.   
810,HAR,Friendship Air Alaska (1982 - 1990),Friendship Air Alaska   
811,HB,Homer Air (2005 - ),Homer Air   
812,HB,Air Club International (1994 - 1997),Air Club International   
813,HBQ,Harris Air Services (2005 - ),Harris Air Services   
814,HCQ,Av Atlantic (1992 - 1997),Av Atlantic   
815,HEL,Helitrans (1986 - 2002),Helitrans   
816,HEP,Hub Express (1987 - 2002),Hub Express   
817,HER,Markair Express (1983 - 1997),Markair Express   
818,HET,Helitac Aviation (1987 - 2002),Helitac Aviation   
819,HEU,Heussler Air Service Corp (1960 - 2002),Heussler Air Service Corp   
820,HFQ,Haiti Air Freight Intl (1987 - 1998),Haiti Air Freight Intl   
821,HFS,Hensley Flying Service Inc. (1960 - 2002),Hensley Flying Service Inc.   
822,HIQ,Business Flights Ltd. (1981 - 1989),Business Flights Ltd.   
823,HJ,Air Haiti S. A. (1981 - 1993),Air Haiti S. A.   
824,HK,South Pacific Island Airway (1981 - 1987),South Pacific Island Airway   
825,HK,Time Air Sweden Ab (1992 - 1993),Time Air Sweden Ab   
826,HLQ,Heavylift Cargo Airlines Lt (1981 - ),Heavylift Cargo Airlines Lt   
827,HMZ,Long Island Airlines (1960 - 2002),Long Island Airlines   
828,HNA,Piedmont Airlines (1960 - 2005),Piedmont Airlines   
829,HNS,Haines Airways (1986 - 2002),Haines Airways   
830,HO,Mid Pacific Airlines Inc. (1985 - 1987),Mid Pacific Airlines Inc.   
831,HOL,Holiday Airlines Inc. (1960 - 2002),Holiday Airlines Inc.   
832,HOQ,Holidair Airways (1989 - 1989),Holidair Airways   
833,HOR,Iowa Airlines (1960 - 2002),Iowa Airlines   
834,HOZ,Horizon Air (1960 - 1984),Horizon Air   
835,HP,America West Airlines Inc. (1983 - 2007),America West Airlines Inc.   
836,HPZ,Pacific Coast Airlines (1960 - 2002),Pacific Coast Airlines   
837,HQ,Harmony Airways (2004 - 2007),Harmony Airways   
838,HQ,Hmy Airways Inc. (2002 - 2004),Hmy Airways Inc.   
839,HQ,Business Express (1992 - 1996),Business Express   
840,HQQ,Harlequin Air Corporation (1998 - 2004),Harlequin Air Corporation   
841,HRA,Trans-National Airlines Haw (1960 - 2002),TransNational Airlines Haw   
842,HRG,Heritage Airlines (1989 - 1990),Heritage Airlines   
843,HRQ,Tar Airlines (1981 - 1989),Tar Airlines   
844,HRZ,Allegheny Airlines (1960 - 2004),Allegheny Airlines   
845,HSV,Harbor Air Service (1985 - 1994),Harbor Air Service   
846,HSZ,Scenic Airlines Inc. (1960 - 2002),Scenic Airlines Inc.   
847,HU,Northern Air Cargo Inc. (1982 - 1996),Northern Air Cargo Inc.   
848,HU,Hainan Airlines Company Limited (2008 - ),Hainan Airlines Company Limited   
849,HUB,Skystream Airlines (1960 - 2002),Skystream Airlines   
850,HVQ,Transavia Holland B. V. (1981 - 1989),Transavia Holland B. V.   
851,HWK,Hawking Corporation (1960 - 2002),Hawking Corporation   
852,HX,Guy-America Airways Inc. (1981 - 1983),GuyAmerica Airways Inc.   
853,HX,Hong Kong Airlines Limited (2016 - ),Hong Kong Airlines Limited   
854,HY,Uzbekistan Airways (1995 - ),Uzbekistan Airways   
855,HYA,Hyannis Aviation (1960 - 2002),Hyannis Aviation   
856,I4,Scott Air LLC dba Island Air Express (2015 - ),Scott Air LLC dba Island Air Express   
857,IA,Iraqi Airways (1988 - 1989),Iraqi Airways   
858,IAS,Island Air Service (1999 - 2003),Island Air Service   
859,IAT,Iliamna Air Service (1960 - 2001),Iliamna Air Service   
860,IAT,Iliamna Air Taxi (2002 - 2003),Iliamna Air Taxi   
861,IB,Iberia Air Lines Of Spain (1981 - ),Iberia Air Lines Of Spain   
862,ICF,Iowa City Flying Service (1960 - 2002),Iowa City Flying Service   
863,ICH,Island Air Charters (1994 - 1994),Island Air Charters   
864,ICQ,Iscargo Hf (1981 - 1989),Iscargo Hf   
865,IDQ,Intl Air Service Co. Ltd. (1983 - 1989),Intl Air Service Co. Ltd.   
866,IEX,Island Air Express (1985 - 2002),Island Air Express   
867,IG,Meridiana S.p.A (2010 - ),Meridiana S.p.A   
868,IGA,"Global Jet Austria, GmbH (2007 - )","Global Jet Austria, GmbH   "
869,III,Idee Industries Inc. (1960 - 2002),Idee Industries Inc.   
870,IJ,Great Wall Airlines Company Limited (2008 - 2011),Great Wall Airlines Company Limited   
871,IJ,Air Liberte Aka Aom Minerve (2001 - 2001),Air Liberte Aka Aom Minerve   
872,IKQ,Tradewinds Airways Ltd. (1981 - 1989),Tradewinds Airways Ltd.   
873,ILL,Air Illinois Inc. (1960 - 1982),Air Illinois Inc.   
874,IMP,Imperial Airlines Inc. (1960 - 1987),Imperial Airlines Inc.   
875,IN,Aerlinte Eireann Teoranta (1981 - 1989),Aerlinte Eireann Teoranta   
876,INA,Inland Empire Airlines Inc. (1960 - 2002),Inland Empire Airlines Inc.   
877,IND,Indiana Airways Inc. (Pa) (1960 - 2002),Indiana Airways Inc. Pa   
878,INL,Inland Aviation Services (1999 - 2003),Inland Aviation Services   
879,INQ,Independent Air Inc. (1984 - 1991),Independent Air Inc.   
880,IOW,Iowa Airways (1985 - 2002),Iowa Airways   
881,IPI,Indo-Pacific International (1960 - 2002),IndoPacific International   
882,IPQ,Aruba Cargo (1990 - 1992),Aruba Cargo   
883,IPS,Island Express (1991 - 2002),Island Express   
884,IR,Iran National Airlines Corp (1981 - 1989),Iran National Airlines Corp   
885,IRQ,Interstate Airlines Inc. (1985 - 1988),Interstate Airlines Inc.   
886,ISL,Island Airlines (1960 - 2002),Island Airlines   
887,ITQ,Interamericana De Aviacion (1990 - 1997),Interamericana De Aviacion   
888,IW,Aom Minerve S.A. (1993 - 2001),Aom Minerve S.A.   
889,IW,Best Airlines Inc. (1982 - 1985),Best Airlines Inc.   
890,IW,Air Liberte Aka Aom Minerve (2001 - 2002),Air Liberte Aka Aom Minerve   
891,IXQ,Inair (1981 - 1989),Inair   
892,J2,Azerbaijan Airlines CJSC (2014 - ),Azerbaijan Airlines CJSC   
893,J5,Alaska Seaplane Service (2003 - 2013),Alaska Seaplane Service   
894,J5,Kalinin Aviation LLC d/b/a Alaska Seaplanes (2013 - ),Kalinin Aviation LLC dba Alaska Seaplanes   
895,J6,Larrys Flying Service (2003 - 2004),Larrys Flying Service   
896,J7,Valujet Airlines Inc. (1993 - 2000),Valujet Airlines Inc.   
897,JAG,JetAlliance Flugbetriebs d/b/a JAF Airservice (2008 - ),JetAlliance Flugbetriebs dba JAF Airservice   
898,JAM,Sunbelt Airlines Inc. (1960 - 2002),Sunbelt Airlines Inc.   
899,JAQ,Jamaica Air Freighters (1997 - 2000),Jamaica Air Freighters   
900,JB,Helijet International Inc. (2002 - ),Helijet International Inc.   
901,JCM,Air Chico (1960 - 2002),Air Chico   
902,JCQ,Jet Connection Businessflight Ag (2003 - 2008),Jet Connection Businessflight Ag   
903,JCZ,Rocky Mountain Airways Inc. (1960 - 1990),Rocky Mountain Airways Inc.   
904,JD,Japan Air System Co. Ltd. (1989 - 1997),Japan Air System Co. Ltd.   
905,JER,Jer-Don Air (1960 - 2002),JerDon Air   
906,JF,L.A.B. Flying Service Inc. (2003 - 2008),L.A.B. Flying Service Inc.   
907,JH,Amerijet International (1987 - 1998),Amerijet International   
908,JI,Midway Airlines Inc. (1994 - 2003),Midway Airlines Inc.   
909,JI,Jade Cargo International (2007 - ),Jade Cargo International   
910,JIQ,Jet Fleet Intl. Airlines (1983 - 1992),Jet Fleet Intl. Airlines   
911,JJ,Transportes Aeros Meridiona (1998 - ),Transportes Aeros Meridiona   
912,JK,Sunworld International Airways Inc. (1983 - 1988),Sunworld International Airways Inc.   
913,JK,Spanair S.A. (1991 - 2001),Spanair S.A.   
914,JKQ,Express One International Inc. (1985 - 2004),Express One International Inc.   
915,JL,Japan Air Lines Co. Ltd. (1981 - ),Japan Air Lines Co. Ltd.   
916,JM,Air Jamaica Limited (1981 - 2011),Air Jamaica Limited   
917,JMA,Jim Air Inc. (1997 - 2002),Jim Air Inc.   
918,JN,Excel Airways (2005 - 2008),Excel Airways   
919,JO,Jalways Co. Ltd. (1999 - 2010),Jalways Co. Ltd.   
920,JQ,Jetstar Airways Pty Limited (2006 - ),Jetstar Airways Pty Limited   
921,JR,Aero California (1989 - ),Aero California   
922,JTA,Jetaire Airlines Inc. (1985 - 2002),Jetaire Airlines Inc.   
923,JU,Yugoslav Airlines (1981 - 1992),Yugoslav Airlines   
924,JU,Air Serbia (2016 - ),Air Serbia   
925,JW,Arrow Air Inc. (1981 - 2010),Arrow Air Inc.   
926,JX,Sun Jet International Inc. (1993 - 1997),Sun Jet International Inc.   
927,JX,Jes Air Ltd. (1991 - 1993),Jes Air Ltd.   
928,JX,Southeast Airlines (1999 - 2004),Southeast Airlines   
929,JXQ,Allarco Developments Ltd. (1981 - 1989),Allarco Developments Ltd.   
930,JZ,Japan Air Charter Co. Ltd. (1991 - 1999),Japan Air Charter Co. Ltd.   
931,K3,Venture Travel LLC d/b/a Taquan Air Service (2004 - ),Venture Travel LLC dba Taquan Air Service   
932,K5,"Seaport Airlines, Inc. (2016 - )","Seaport Airlines, Inc.   "
933,K5,"SeaPort Airlines, Inc. d/b/a Wings of Alaska (2011 - 2015)","SeaPort Airlines, Inc. dba Wings of Alaska   "
934,K5,Wings Of Alaska (2003 - 2010),Wings Of Alaska   
935,K7,Arizona Express (2005 - 2005),Arizona Express   
936,K8,Dutch Caribbean Airlines (2002 - 2004),Dutch Caribbean Airlines   
937,K8,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines (2010 - )","Caribbean Sun Airlines, Inc. dba World Atlantic Airlines   "
938,KA,Hong Kong Dragonair (1990 - ),Hong Kong Dragonair   
939,KAH,Kenmore Air Harbor (1985 - ),Kenmore Air Harbor   
940,KAI,Knight Airlines Inc. (1960 - 2002),Knight Airlines Inc.   
941,KAQ,Kalitta Air LLC (2000 - ),Kalitta Air LLC   
942,KAT,Katmai Air (1994 - ),Katmai Air   
943,KB,Haiti Air (1985 - 1989),Haiti Air   
944,KD,Western Global (2014 - ),Western Global   
945,KE,Korean Air Lines Co. Ltd. (1981 - ),Korean Air Lines Co. Ltd.   
946,KEA,Keene Airways (1992 - 2002),Keene Airways   
947,KEE,Key Airlines (1960 - 2002),Key Airlines   
948,KEQ,Key Airlines Inc. (1984 - 1992),Key Airlines Inc.   
949,KET,Ketchikan Air Service (1987 - 1998),Ketchikan Air Service   
950,KFS,King Flying Service (1985 - 1989),King Flying Service   
951,KH,Aloha Air Cargo (2008 - ),Aloha Air Cargo   
952,KI,Time Air Ltd. (1988 - 1997),Time Air Ltd.   
953,KIN,Golden Pacific Airlines (1981 - 2002),Golden Pacific Airlines   
954,KKQ,Transmeridian Air Cargo Ltd. (1981 - 1989),Transmeridian Air Cargo Ltd.   
955,KL,Klm Royal Dutch Airlines (1981 - ),Klm Royal Dutch Airlines   
956,KLQ,Kalitta Charters II (2004 - ),Kalitta Charters II   
957,KM,Air Malta (2000 - 2000),Air Malta   
958,KN,Morris Air Corporation (1992 - 1994),Morris Air Corporation   
959,KO,Alaska Central Express (2003 - ),Alaska Central Express   
960,KOD,Kodiak Airways Inc. (1983 - 2002),Kodiak Airways Inc.   
961,KP,Kiwi International (1992 - 2000),Kiwi International   
962,KR,Kitty Hawk Aircargo (1994 - 2008),Kitty Hawk Aircargo   
963,KR,Kar-Air Oy (1981 - 1989),KarAir Oy   
964,KS,Peninsula Airways Inc. (2006 - ),Peninsula Airways Inc.   
965,KTQ,Turks Air Ltd. (1992 - ),Turks Air Ltd.   
966,KU,Kuwait Airways Corp. (1982 - ),Kuwait Airways Corp.   
967,KW,Pacific Interstate Airlines (1989 - 1991),Pacific Interstate Airlines   
968,KW,Carnival Air Lines Inc. (1991 - 1998),Carnival Air Lines Inc.   
969,KWQ,Kelowna Flightcraft Air Cha (1981 - 1989),Kelowna Flightcraft Air Cha   
970,KWZ,Crown Air (1960 - 2002),Crown Air   
971,KX,Cayman Airways Limited (1990 - ),Cayman Airways Limited   
972,KXQ,Cayman Airways Limited (1981 - 1990),Cayman Airways Limited   
973,KXZ,Chaparral Airlines Inc. (1960 - 2002),Chaparral Airlines Inc.   
974,KZ,Nippon Cargo Airlines (1988 - ),Nippon Cargo Airlines   
975,L2,Lynden Air Cargo Airlines (1997 - ),Lynden Air Cargo Airlines   
976,L3,Lynx Aviation d/b/a Frontier Airlines (2009 - 2011),Lynx Aviation dba Frontier Airlines   
977,L4,Lynx Aviation d/b/a Frontier Airlines (2008 - 2009),Lynx Aviation dba Frontier Airlines   
978,L7,Lan Colombia (2009 - ),Lan Colombia   
979,LA,Lan-Chile Airlines (1981 - ),LanChile Airlines   
980,LAA,La Skycab Airline (1985 - 2002),La Skycab Airline   
981,LAB,L.A.B. Flying Service Inc. (2002 - 2003),L.A.B. Flying Service Inc.   
982,LAH,La Helicopter (1986 - 2002),La Helicopter   
983,LAN,Lancer Aviation Inc. (1960 - 2002),Lancer Aviation Inc.   
984,LAP,Lapsa (1990 - 2002),Lapsa   
985,LAR,Laredo Air (1988 - 2002),Laredo Air   
986,LAS,Lake Union Air Service (1982 - 2002),Lake Union Air Service   
987,LAW,Lawrence Aviation (1960 - 2002),Lawrence Aviation   
988,LB,Lloyd Aereo Boliviano S. A. (1981 - 2007),Lloyd Aereo Boliviano S. A.   
989,LBQ,Millon Air Inc. (1985 - 1997),Millon Air Inc.   
990,LC,Lineas Aereas Del Caribe (1981 - 1996),Lineas Aereas Del Caribe   
991,LC,Varig Logistica S/A (2005 - ),Varig Logistica SA   
992,LC,Legend Airlines (2000 - 2000),Legend Airlines   
993,LCQ,Latcr (1990 - 1993),Latcr   
994,LCT,Lake Coastal (1987 - 2002),Lake Coastal   
995,LDM,Lauda Motion GmbH (2016 - ),Lauda Motion GmbH   
996,LEQ,Le Point Air (1985 - 1989),Le Point Air   
997,LEX,L'Express (1990 - 2002),LExpress   
998,LF,Jettrain Airlines (1996 - 1997),Jettrain Airlines   
999,LF,CFM Inc d/b/a Contour Airlines (2016 - ),CFM Inc dba Contour Airlines   
1000,LFS,Larrys Flying Service (1986 - 2003),Larrys Flying Service   
1001,LG,Luxair (1999 - 2003),Luxair   
1002,LGQ,Lineas Aereas Allegro (1993 - 2003),Lineas Aereas Allegro   
1003,LH,Lufthansa German Airlines (1981 - ),Lufthansa German Airlines   
1004,LHA,Havasu Airlines (1960 - 2002),Havasu Airlines   
1005,LIQ,Liat (1974) Limited (1981 - 1989),Liat  Limited   
1006,LJ,Jin Air Co Ltd. (2010 - ),Jin Air Co Ltd.   
1007,LKN,Loken Aviation (1991 - 1995),Loken Aviation   
1008,LLA,Lakeland Aviation (1960 - 2002),Lakeland Aviation   
1009,LM,Alm Antillean Airlines (1981 - 2002),Alm Antillean Airlines   
1010,LNQ,Aerolineas Latinas (1990 - 1998),Aerolineas Latinas   
1011,LO,Polskie Linie Lotnicze (1981 - ),Polskie Linie Lotnicze   
1012,LOQ,Lorair Ltd. (1999 - 2000),Lorair Ltd.   
1013,LOS,Aero Commuter (1960 - 2002),Aero Commuter   
1014,LP,The Hawaii Express Inc. (1982 - 1983),The Hawaii Express Inc.   
1015,LP,Lan Peru Airlines (1999 - ),Lan Peru Airlines   
1016,LR,Lacsa (1981 - ),Lacsa   
1017,LRQ,Air Liberte (1990 - 1996),Air Liberte   
1018,LS,Jet2.com (2008 - ),Jet.com   
1019,LSQ,Lineas Aereas Suramerican (1993 - 2002),Lineas Aereas Suramerican   
1020,LSZ,Alaska Island Air Inc. (1983 - 2000),Alaska Island Air Inc.   
1021,LT,Luftransport-Unternehmen (1981 - 2009),LuftransportUnternehmen   
1022,LU,Air Atlantic Dominicana (1997 - 1998),Air Atlantic Dominicana   
1023,LUQ,Lineas Aereas La-Tur Sa (1988 - 1991),Lineas Aereas LaTur Sa   
1024,LV,Linea Aeropostal Venezolana (1990 - 1994),Linea Aeropostal Venezolana   
1025,LVA,Las Vegas Airlines (1960 - 2002),Las Vegas Airlines   
1026,LW,Pacific Wings Airlines (2006 - 2015),Pacific Wings Airlines   
1027,LX,Swiss International Airlines (2002 - ),Swiss International Airlines   
1028,LXQ,Translux Intl Airlines (1998 - 2001),Translux Intl Airlines   
1029,LY,El Al Israel Airlines Ltd. (1981 - ),El Al Israel Airlines Ltd.   
1030,LZ,Balkan Bulgarian Airlines (1992 - 1999),Balkan Bulgarian Airlines   
1031,LZQ,Leisure International Airways Ltd. (1993 - 1996),Leisure International Airways Ltd.   
1032,M3,ABSA-Aerolinhas Brasileiras (1998 - ),ABSAAerolinhas Brasileiras   
1033,M6,Amerijet International (1998 - ),Amerijet International   
1034,M7,Aerotransportes Mas De Crga (2005 - ),Aerotransportes Mas De Crga   
1035,MA,Malev Hungarian Airlines (1993 - ),Malev Hungarian Airlines   
1036,MAA,Maui Airlines (1985 - 2002),Maui Airlines   
1037,MAC,Mackey International Inc. (1960 - 1982),Mackey International Inc.   
1038,MAE,Mid-Atlantic Exp. Airlines (1983 - 2002),MidAtlantic Exp. Airlines   
1039,MAG,Magum Airlines (1960 - 2002),Magum Airlines   
1040,MAI,The Maui Commuter (1960 - 2002),The Maui Commuter   
1041,MAQ,Millardair Limited (1981 - 1989),Millardair Limited   
1042,MAR,Marshall's Air Inc. (1960 - 2002),Marshalls Air Inc.   
1043,MAS,Mesa Airlines Inc. (1983 - 1995),Mesa Airlines Inc.   
1044,MAV,Maverick Airways (1996 - 1998),Maverick Airways   
1045,MAX,Maxair Inc. (1960 - 2002),Maxair Inc.   
1046,MB,Samoa Airlines Inc. (1985 - 1985),Samoa Airlines Inc.   
1047,MC,Transtar Airlines Corp. (1981 - 1987),Transtar Airlines Corp.   
1048,MCO,Mid Continental Airlines In (1960 - 2002),Mid Continental Airlines In   
1049,MDC,Midcontinent Airlines (1986 - 2002),Midcontinent Airlines   
1050,MDQ,Aerotransportes Mas De Crga (1992 - 1992),Aerotransportes Mas De Crga   
1051,MDU,Metro Airlines (1960 - 2002),Metro Airlines   
1052,ME,Middle East Airlines S.A.L. (1983 - 1989),Middle East Airlines S.A.L.   
1053,MEA,Manhattan Express (1989 - 2002),Manhattan Express   
1054,MES,Mesaba Airlines (1960 - 1997),Mesaba Airlines   
1055,MET,Metroplex Airlines (1960 - 2002),Metroplex Airlines   
1056,MEX,Metro Express 11 (1985 - 2002),Metro Express    
1057,MF,"Xiamen Airlines Co., Ltd. (2016 - )","Xiamen Airlines Co., Ltd.   "
1058,MG,Champion Air (1996 - 2008),Champion Air   
1059,MG,MGM Grand Air Inc. (1987 - 1996),MGM Grand Air Inc.   
1060,MGQ,Montana Austria Flugetrieb (1981 - 1989),Montana Austria Flugetrieb   
1061,MH,Malaysian Airline System (1986 - ),Malaysian Airline System   
1062,MHK,Mohawk Airlines (1989 - 2002),Mohawk Airlines   
1063,MHO,Mahalo Air (1994 - 1998),Mahalo Air   
1064,MIN,Minuteman Aviation Inc. (1982 - 2002),Minuteman Aviation Inc.   
1065,MIS,Midstate Airlines Inc. (1960 - 1990),Midstate Airlines Inc.   
1066,MIW,Airborne Express Inc. (1981 - 2004),Airborne Express Inc.   
1067,MIY,Midway Aviation Inc. (1960 - 2002),Midway Aviation Inc.   
1068,MJ,Lapa-Lineas Aereas Privadas (1999 - 2002),LapaLineas Aereas Privadas   
1069,MKQ,Airmark Corporation (1984 - 1985),Airmark Corporation   
1070,ML,Midway Airlines Inc. (1979 - 1991),Midway Airlines Inc.   
1071,ML,Aero Costa Rica (1992 - 1997),Aero Costa Rica   
1072,MLL,Miller Air Transportersinc (1960 - 2002),Miller Air Transportersinc   
1073,MLX,Merlin Express (1995 - 2002),Merlin Express   
1074,MM,Euro Atlantic Airways (2004 - 2009),Euro Atlantic Airways   
1075,MM,Sociedad Aeronautica De Med (1981 - 1989),Sociedad Aeronautica De Med   
1076,MMH,Ocean Airways Inc. (1960 - 2002),Ocean Airways Inc.   
1077,MMQ,Miami Air International (1991 - 2004),Miami Air International   
1078,MNA,M & N Aviation (1997 - 2002),M  N Aviation   
1079,MNZ,Cumberland Airlines (1960 - 2002),Cumberland Airlines   
1080,MOQ,Morningstar Air Express (2004 - ),Morningstar Air Express   
1081,MP,Martinair Holland N.V. (1998 - ),Martinair Holland N.V.   
1082,MPA,Mid Pacific Airlines Inc. (1960 - 1988),Mid Pacific Airlines Inc.   
1083,MPC,Mid Pacific Air Corp. (1988 - 1996),Mid Pacific Air Corp.   
1084,MQ,Envoy Air (2014 - ),Envoy Air   
1085,MQ,Simmons Airlines (1991 - 1998),Simmons Airlines   
1086,MQ,American Eagle Airlines Inc. (1998 - 2014),American Eagle Airlines Inc.   
1087,MRC,Marco Island Airways Inc. (1960 - 1986),Marco Island Airways Inc.   
1088,MRQ,Murray Air (2004 - 2007),Murray Air   
1089,MRQ,"National Air Cargo Group, Inc. d/b/a Murray Air (2008 - 2015)","National Air Cargo Group, Inc. dba Murray Air   "
1090,MRR,Merrimack Aviation Inc. (1960 - 2002),Merrimack Aviation Inc.   
1091,MS,Egyptair (1985 - ),Egyptair   
1092,MSQ,Martinair Holland N.V. (1986 - 1997),Martinair Holland N.V.   
1093,MST,Midwest Aviation (1960 - 2002),Midwest Aviation   
1094,MT,Flying Colours Airlines Ltd. (1997 - 1997),Flying Colours Airlines Ltd.   
1095,MT,Thomas Cook Airlines Uk Ltd. (2008 - ),Thomas Cook Airlines Uk Ltd.   
1096,MTA,Arkansas Traveler Airline (1960 - 2002),Arkansas Traveler Airline   
1097,MTR,Metroflight Airlines (1960 - 2002),Metroflight Airlines   
1098,MTV,Mst Aviation (1987 - 2002),Mst Aviation   
1099,MTX,Mountain Air Express (1997 - 1998),Mountain Air Express   
1100,MU,Mcclain Airlines Inc. (1986 - 1987),Mcclain Airlines Inc.   
1101,MU,China Eastern Airlines (1991 - ),China Eastern Airlines   
1102,MUA,Manu'a Air Transport (1982 - 2002),Manua Air Transport   
1103,MUQ,Aerolineas Mundo (1988 - 1999),Aerolineas Mundo   
1104,MVA,Mississippi Valley Airlines (1960 - 1989),Mississippi Valley Airlines   
1105,MVQ,Aom Minerve S.A. (1983 - 1993),Aom Minerve S.A.   
1106,MW,"Mokulele Flight Services, Inc. (2013 - )","Mokulele Flight Services, Inc.   "
1107,MWA,Mountain West Airlines (1985 - 2002),Mountain West Airlines   
1108,MX,Compania Mexicana De Aviaci (1981 - ),Compania Mexicana De Aviaci   
1109,MY,Aerotransportes Mas De Crga (1992 - 2005),Aerotransportes Mas De Crga   
1110,MY,MAXjet (2005 - 2007),MAXjet   
1111,MYQ,Lineas Aereas Mayas (Lamsa) (1990 - 2001),Lineas Aereas Mayas Lamsa   
1112,MZ,P.N. Merpati Nusantara Air. (1981 - 1989),P.N. Merpati Nusantara Air.   
1113,N5,Skagway Air Service (2005 - 2007),Skagway Air Service   
1114,N5,Nations Air Express Inc. (1995 - 1999),Nations Air Express Inc.   
1115,N6,Aero Continente (1999 - ),Aero Continente   
1116,N7,National Airlines (1999 - 2002),National Airlines   
1117,N8,National Air Cargo Group Inc d/ba National Airlines (2016 - ),National Air Cargo Group Inc dba National Airlines   
1118,NA',Executive Airlines (1990 - 1999),Executive Airlines   
1119,NA',North American Airlines (2005 - 2014),North American Airlines   
1120,NAC,National Air Commuter Inc. (1960 - 2002),National Air Commuter Inc.   
