,CARRIER,CARRIER_NAME,CNAME
1452,SIQ,Premiair (1995 - 1999),Premiair   
1453,SIQ,Scanair (1982 - 1994),Scanair   
1454,SJA,San Juan Airlines Inc. (1960 - 2002),San Juan Airlines Inc.   
1455,SJQ,Skycharter (Malton) Ltd. (1981 - 1989),Skycharter Malton Ltd.   
1456,SK,Scandinavian Airlines Sys. (1981 - ),Scandinavian Airlines Sys.   
1457,SKB,Smokey Bay Air Inc. (2000 - 2003),Smokey Bay Air Inc.   
1458,SKG,Skagway Air Service (1988 - 2003),Skagway Air Service   
1459,SKI,Sunbird Inc. (1960 - 1996),Sunbird Inc.   
1460,SKJ,Sky-Jet (1993 - 2002),SkyJet   
1461,SKL,Bas Airlines (1960 - 2002),Bas Airlines   
1462,SKM,Scheduled Skyways (1960 - 2002),Scheduled Skyways   
1463,SKS,Silver Kris Services Ltd. (1984 - 2002),Silver Kris Services Ltd.   
1464,SKT,Skytrain (1981 - 2002),Skytrain   
1465,SKW,Skyway Airlines (1990 - 2003),Skyway Airlines   
1466,SLA,Mountain Bird/Salmon Air (2001 - 2005),Mountain BirdSalmon Air   
1467,SLO,Slocum Air Inc. (1981 - 2002),Slocum Air Inc.   
1468,SLQ,Sky King Inc. (2002 - 2013),Sky King Inc.   
1469,SLR,Salair (1993 - 2002),Salair   
1470,SLZ,Southeast Airlines Inc. (1960 - 1986),Southeast Airlines Inc.   
1471,SM,Sunworld International Airlines (1996 - 2005),Sunworld International Airlines   
1472,SMC,Stopher Mechanical Inc. (1960 - 2002),Stopher Mechanical Inc.   
1473,SMO,Samoa Aviation Inc. (1989 - 2003),Samoa Aviation Inc.   
1474,SMQ,Serv. Aerolineas Mexicanas (1993 - 1996),Serv. Aerolineas Mexicanas   
1475,SN,Brussels Airlines N.V. (2012 - ),Brussels Airlines N.V.   
1476,SN,Sabena Belgian World Air. (1981 - 2001),Sabena Belgian World Air.   
1477,SNA,Aviation Associates (1983 - 1987),Aviation Associates   
1478,SNB,Ccair (1960 - 2002),Ccair   
1479,SNC,Gelco Courier Services Inc. (1960 - 2002),Gelco Courier Services Inc.   
1480,SNE,Shawnee Airlines (1960 - 2002),Shawnee Airlines   
1481,SNK,Spernak Airways Inc. (2000 - ),Spernak Airways Inc.   
1482,SNV,Sierra Nevada Airways (1991 - 2002),Sierra Nevada Airways   
1483,SO,Swiss World Airways (1998 - 1998),Swiss World Airways   
1484,SOA,Mall Airways Inc. (1960 - 2002),Mall Airways Inc.   
1485,SOE,Sky One Express (1992 - 2002),Sky One Express   
1486,SOL,Soonair Lines Inc. (1960 - 2002),Soonair Lines Inc.   
1487,SOP,South Pacific Island Airway (1960 - 1987),South Pacific Island Airway   
1488,SPF,Springfield Air Service (1960 - 2002),Springfield Air Service   
1489,SPG,Springdale Air (1988 - 2002),Springdale Air   
1490,SPH,Spirit Helicopter (1983 - 2002),Spirit Helicopter   
1491,SPQ,Sun Pacific International (1996 - 2001),Sun Pacific International   
1492,SPR,Sportsman Flying Service (1988 - 2002),Sportsman Flying Service   
1493,SQ,Singapore Airlines Ltd. (1981 - ),Singapore Airlines Ltd.   
1494,SR,Swissair Transport Co. Ltd. (1988 - 2002),Swissair Transport Co. Ltd.   
1495,SRA,Star Aviation (1990 - 2002),Star Aviation   
1496,SRL,Sterling Air Service (1960 - 2002),Sterling Air Service   
1497,SS,Corsair International (2012 - ),Corsair International   
1498,SS,Corsair (2010 - 2012),Corsair   
1499,SSA,S. S. Airways Inc. (1981 - 1986),S. S. Airways Inc.   
1500,SSP,Southern Seaplane (1960 - 2002),Southern Seaplane   
1501,SSQ,Superior Airways Limited (1981 - 1989),Superior Airways Limited   
1502,SSS,Sierra Express Inc. (1960 - 2002),Sierra Express Inc.   
1503,SST,Seaplane Shuttle Transport (1960 - 2002),Seaplane Shuttle Transport   
1504,ST,Belize Airways Limited (1981 - 1989),Belize Airways Limited   
1505,STA,State Airlines Inc. (1981 - 2002),State Airlines Inc.   
1506,STF,Trans East International (1960 - 2002),Trans East International   
1507,STG,Sedalia Marshall Boonvl Stg (1960 - 1990),Sedalia Marshall Boonvl Stg   
